Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/v1/opscore/agent/[id]/state,20,20,3,6.596804049968341,1.6177819998119958,40.57789800026512,0.0,1.7869664349033243,1.7869664349033243,4,5,7,8,17,41,41,41,41,41,41
POST,/v1/opscore/agent/[id]/state,1,1,7.22386999950686,7.22386999950686,7.22386999950686,7.22386999950686,0.0,0.08934832174516621,0.08934832174516621,7,7,7,7,7,7,7,7,7,7,7
POST,/v1/opscore/internal/agent/notify,1,1,24.756283000897383,24.756283000897383,24.756283000897383,24.756283000897383,0.0,0.08934832174516621,0.08934832174516621,25,25,25,25,25,25,25,25,25,25,25
,Aggregated,22,22,4,7.450737909080503,1.6177819998119958,40.57789800026512,0.0,1.9656630783936566,1.9656630783936566,4,6,7,8,17,25,41,41,41,41,41
